店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
個室 藁焼きと熟成肉 藁蔵～wakura～ 梅田グランフロント前店,050-5492-4518,,大阪府,大阪市,北区芝田2-3-9,excelビル5F,https://ke5y600.gorp.jp/?_gl=1*grvjdm*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMTAyNS40MC4wLjA.,True
割鮮 吉在門,050-5488-9993,,大阪府,大阪市,北区小松原町1-16,モコビルB1,,False
個室 藁焼きと熟成肉 藁蔵～wakura～ 梅田グランフロント前店,050-5492-4518,,大阪府,大阪市,北区芝田2-3-9,excelビル5F,https://ke5y600.gorp.jp/?_gl=1*1p6z0em*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMTE5OS4xNi4wLjA.,True
宮崎地鶏炭火焼 車 梅田店,050-1721-2580,mailto:umeda@kuruma-jp.com,大阪府,大阪市,北区角田町6-9,,https://k021903.gorp.jp/?_gl=1*zcbf76*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMTQ0NC41NS4wLjA.,True
エイス シー オイスターバー 阪急グランドビル店,050-5485-6742,,大阪府,大阪市,北区角田町8-47,阪急グランドビル31F,https://k052652.gorp.jp/?_gl=1*puiab2*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMTU4NS4zOS4wLjA.,True
炉端とホルモンと串焼きとおでん とっとっと 梅田お初天神店,050-5484-9208,,大阪府,大阪市,北区曽根崎2-13-17,曽根崎渡辺ビル2F,https://kdb8514.gorp.jp/?_gl=1*1rlzbb*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMTY0Mi41Ny4wLjA.,True
【個室完備】和牛と海鮮 ぼん蔵 梅田本店,050-5487-7410,,大阪府,大阪市,北区曽根崎2-5-23,ZIZIお初天神,https://kef9100.gorp.jp/?_gl=1*11imgln*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMTcxNS41OC4wLjA.,True
北新地 鳥屋 堂島店,050-5484-5067,,大阪府,大阪市,北区堂島1-2-12,北新地角庄ビル1・2F,https://kitashinchitoriyadojima.gorp.jp/?_gl=1*8g0xdn*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMTg1NC44LjAuMA..,True
七輪焼 お魚くわえたどら猫,050-5486-0254,,大阪府,大阪市,北区堂山町15-12,,https://c077900.gorp.jp/?_gl=1*1q4ofkt*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMTkxNi40MS4wLjA.,True
力丸 炉ばた焼 馬籠,050-5484-6209,,大阪府,大阪市,北区芝田1-6-8,,https://rikimarugroupmagome.gorp.jp/?_gl=1*rcaevy*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMjAzOS4yMC4wLjA.,True
海鮮と日本酒 魚舟 梅田阪急グランドビル店,050-5488-0233,,大阪府,大阪市,北区角田町8-47,阪急グランドビル29F,https://kdf0006.gorp.jp/?_gl=1*117knac*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMjE2Mi40NS4wLjA.,True
旨唐揚げと居酒メシ ミライザカ 梅田茶屋町店,050-5492-3920,,大阪府,大阪市,北区茶屋町2-16,e-square chayamachi 3F,,False
個室和食 北新地 曉,050-5485-6730,,大阪府,大阪市,北区曽根崎新地1-3-9,GOTS北新地2F,https://kitashinchiakatsuki.gorp.jp/?_gl=1*kowzvf*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMjM3Ni40NC4wLjA.,True
鹿児島県霧島市 塚田農場 梅田ギャザ阪急店,050-5484-5885,,大阪府,大阪市,北区芝田1-3-1,ギャザ阪急6F,https://kagg522.gorp.jp/?_gl=1*5l177i*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMjQzOS41Ny4wLjA.,True
旬魚 旬菜 咲くら 梅田阪急グランドビル店,06-6315-7780,mailto:sakura-hankyu@dynac.co.jp,大阪府,大阪市,北区角田町8-47,阪急グランドビル27F,https://k015468.gorp.jp/?_gl=1*1nbiznp*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMjUyNi41Ny4wLjA.,True
地下食堂 mogura,050-1807-8283,,大阪府,大阪市,北区角田町7-10,HEP NAVIO B2,https://c297918.gorp.jp/?_gl=1*1uriyqt*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMjY4Ni41My4wLjA.,True
梅田 パーティースペース フェス （Fes）,050-5484-9366,,大阪府,大阪市,北区芝田1-8-1,D.D.HOUSE2F,https://k185253.gorp.jp/?_gl=1*1okh5il*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMjc3Ni4yOS4wLjA.,True
epais,050-5487-9410,,大阪府,大阪市,北区曽根崎新地1-9-3,ニュー華ビル3F,https://epais-kitashinchi.gorp.jp/?_gl=1*lj8nmd*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMjkxMy40Ni4wLjA.,True
リストランテ・クロノス,050-5484-9943,mailto:info@r-chronus.com,大阪府,大阪市,北区堂島2-1-31,京阪堂島ビル1F,https://corona.gorp.jp/?_gl=1*991fmj*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzA4OC4xOS4wLjA.,True
KOREAN BISTRO SO 大丸梅田店,050-5494-3973,,大阪府,大阪市,北区梅田3-1-1,大丸梅田店14F,https://k114311.gorp.jp/?_gl=1*16k5u3e*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzE1OS4yOC4wLjA.,True
ベルギービールと料理の店 ドルフィンズ 梅田店,050-5485-3630,,大阪府,大阪市,北区芝田1-5-2,大和ビル1F,https://umeda-dolphins.gorp.jp/?_gl=1*w7fx2b*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzI2MS4xNi4wLjA.,True
博多漁家 磯貝 グランフロント大阪店,050-5485-3368,mailto:isogai-gfo@hakata-isogai.net,大阪府,大阪市,北区大深町4-20,グランフロント大阪 南館7F,https://kbwj635.gorp.jp/?_gl=1*1i1jhf7*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzM1MC4yNS4wLjA.,True
豆富料理と吟醸せいろ蒸し 八かく庵 大阪ステーションシティ店,06-6347-1020,,大阪府,大阪市,北区梅田3-1-1,サウスゲートビルディング16F,https://kad5601.gorp.jp/?_gl=1*niptcl*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzQxNC4zOS4wLjA.,True
海藤花 第三ビル店,06-6345-5255,,大阪府,大阪市,北区梅田1-1-3,大阪駅前第3ビルB1,https://kaitouge-umeda.gorp.jp/?_gl=1*1ga171t*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzU0My42LjAuMA..,True
CRAFT BEER HOUSE molto！！ 梅田店,050-5484-8971,,大阪府,大阪市,北区角田町8-47,阪急グランドビル31F,https://k137340.gorp.jp/?_gl=1*oqxtqv*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzYxNS4zNi4wLjA.,True
魚貝・日本酒 とよ新 梅田店,050-5492-5169,,大阪府,大阪市,北区芝田1-11-8,,https://kc6n208.gorp.jp/?_gl=1*65gep5*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzcwMC4yOC4wLjA.,True
個室創作和食 たなごころ 梅田店,050-5488-5720,,大阪府,大阪市,北区梅田1-1-3,大阪駅前第3ビル33F,https://kekf400.gorp.jp/?_gl=1*at5oxl*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzc4OC4yOC4wLjA.,True
辻ノ蔵 梅田店,050-5488-5326,,大阪府,大阪市,北区堂山町4-17,固城ビル3F,https://kegb300.gorp.jp/?_gl=1*1fyypvy*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzg3MC4zMy4wLjA.,True
海藤花 北新地本店,050-5485-5641,,大阪府,大阪市,北区曽根崎新地1-2-10,キャノンプラザビル2F,https://kaitouge-kitashinchi.gorp.jp/?_gl=1*ebptvd*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExMzk2Ny4xOS4wLjA.,True
梅田 パーティースペース フェス （Fes）,050-5484-9366,,大阪府,大阪市,北区芝田1-8-1,D.D.HOUSE2F,https://k185253.gorp.jp/?_gl=1*1a8ddv1*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExNDE3MS4xOC4wLjA.,True
地鶏専門 たか鳥 新梅田食道街店,050-5487-9335,,大阪府,大阪市,北区角田町9-26,新梅田食堂街2F,https://k771326.gorp.jp/?_gl=1*3jxlkn*_gcl_au*OTYzMDU4ODAwLjE3NDIxMDg3MDM.*_ga*OTU0Mzg5MDQyLjE3NDIxMDg3MzY.*_ga_L9BHK8C28C*MTc0MjEwODczNS4xLjEuMTc0MjExNDMxNC4zOC4wLjA.,True
